source_page,year,pdf_url,local_path,bytes,sha256
Special,2022,https://www.commercialpointohio.gov/CPMeetings/Special/2022/1-18-2022.pdf,Special/2022/1-18-2022.pdf,308316,f88f5ab9a2807897dcf2e0a4962527b8318ea2f359fe115234d2324a14cf5d36
Special,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/2-22-Special-Meeting.pdf,Special/2021/2-22-Special-Meeting.pdf,1041816,29a575042c1b325464254bfef9745478b99cebb711068434e19fa8222fbb7746
Special,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/8-23-2021.pdf,Special/2021/8-23-2021.pdf,509556,8594bfca5bfe35371c8cc6960ea5550db6625dca9f83319f22d0f42ec63a58c3
Special,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/9-23-special.pdf,Special/2021/9-23-special.pdf,65444,be0e475d7614eb800e0c93607864afd4de1bce55c9a2bda9e9637320fdd1d2b9
Special,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/10-25-2021.pdf,Special/2021/10-25-2021.pdf,163417,74553b14e75b54a478fd9f7e3a68f951d2cb86dc075923d14343dc761c0affa9
Special,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/11-8-2021.pdf,Special/2021/11-8-2021.pdf,110178,4bd0219d9f4162c005f49a8c4d522127ab5d5f36610deb08885c4f3eda8ca5d9
Special,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/11-29-2021.pdf,Special/2021/11-29-2021.pdf,372980,89764dc48b5eef613d2bf2d33cb7073142693f29dcdcd8b7c64a1fc54b597c07
Special,2020,https://www.commercialpointohio.gov/CPMeetings/Special/2020/Special-Meeting-February-3-2020.pdf,Special/2020/Special-Meeting-February-3-2020.pdf,317420,8c5e6ea21f7c811aa06d7bb757795bc63d8d8ce1932474d6310a4e69c8bfd4d0
Special,2020,https://www.commercialpointohio.gov/CPMeetings/Special/2020/9-10-2020-Special.pdf,Special/2020/9-10-2020-Special.pdf,872483,0c4e676644985ff90b655976d14e6e66e0ad9a447f049ee6b43fc37bc3e7d1cd
Special,2020,https://www.commercialpointohio.gov/CPMeetings/Special/2020/10-29-2020-Special-Meeting.pdf,Special/2020/10-29-2020-Special-Meeting.pdf,542681,5e8be7f53feb46bda48589f41261afc62b1d73f2471f506ee1b3018c97d81dd9
Special_Archive,2016,https://commercialpointohio.gov/CPMiscForms/2016-Annual-Drinking-Water-Quality-Report.pdf,Special_Archive/2016/2016-Annual-Drinking-Water-Quality-Report.pdf,913542,8e5bb1c79f3aa8be310d7b0802db77815cc9951ebf064d6cc3bcf4371f3cc98e
